lap;time;tyre
1;NaT;M
2;00:01:10.609000;M
3;00:01:09.928000;M
4;00:01:10.138000;M
5;00:01:10.268000;M
6;00:01:10.329000;M
7;00:01:10.321000;M
8;00:01:10.721000;M
9;00:01:10.883000;M
10;00:01:11.403000;M
11;00:01:10.934000;M
12;00:01:10.461000;M
13;00:01:10.601000;M
14;00:01:10.877000;M
15;00:01:10.656000;M
16;00:01:10.456000;M
17;00:01:10.514000;M
18;00:01:10.784000;M
19;00:01:10.627000;M
20;00:01:10.463000;M
21;00:01:10.790000;M
22;00:01:10.693000;M
23;00:01:10.727000;M
24;00:01:11.455000;M
25;00:01:11.343000;M
26;00:01:14.801000;M
27;00:01:26.973000;H
28;00:01:09.479000;H
29;00:01:08.984000;H
30;00:01:09.553000;H
31;00:01:09.737000;H
32;00:01:10.106000;H
33;00:01:09.665000;H
34;00:01:10.045000;H
35;00:01:09.678000;H
36;00:01:09.908000;H
37;00:01:09.864000;H
38;00:01:10.122000;H
39;00:01:10.567000;H
40;00:01:12.074000;H
41;00:01:10.841000;H
42;00:01:10.079000;H
43;00:01:10.478000;H
44;00:01:09.989000;H
45;00:01:10.267000;H
46;00:01:10.487000;H
47;00:01:10.658000;H
48;00:01:10.584000;H
49;00:01:14.540000;H
50;00:01:26.531000;H
51;00:01:09.071000;H
52;00:01:08.992000;H
53;00:01:09.192000;H
54;00:01:09.109000;H
55;00:01:09.222000;H
56;00:01:08.683000;H
57;00:01:08.843000;H
58;00:01:24.522000;H
59;00:01:46.869000;M
60;00:01:09.868000;M
61;00:01:08.070000;M
62;00:01:07.583000;M
63;00:01:07.814000;M
64;00:01:08.681000;M
65;00:01:08.709000;M
66;00:01:08.842000;M
67;00:01:08.930000;M
68;00:01:08.910000;M
69;00:01:08.580000;M
70;00:01:08.833000;M
71;00:01:09.349000;M
